IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AMR,Americas,Country,DMA,Dominica,Year,2019,true,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,HUN,Hungary,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,ISR,Israel,Year,2019,true,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,NOR,Norway,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,PRT,Portugal,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,SVN,Slovenia,Year,2019,true,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AMR,Americas,Country,USA,United States of America,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,100,,,,,,100,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
