"ADM0_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Area (ha)"
"Cuba",0.381401746083155,0.0226830262145153,0.0306340250194885,0.148874097153378,0.0275806046070828,0.499161328676309,0.880203057041802,11086339.9743007
"Cyprus",0.0338483927577794,0.0127210004312204,0.0641221374045802,0.111714507370054,0.011808367071525,0.524404843343823,0.923174045737698,924931.25569836
"Czech Republic",0.326622491704851,0.0013207690940032,0.0223003949557421,0.145202536824877,0.011598103293605,0.452724509130281,0.738762853524195,7884515.57397551
"Dem People's Rep of Korea",0.481611231836278,0.000392461469277626,0.000746030054353618,0.459741294854126,0.000669226457868012,0.640676893266591,0.812696084913031,12246535.2105867
"Democratic Republic of the Congo",0.755915612363566,0.232035555248565,0.360955568714261,0.779795598919155,0.375829933500844,0.880145604707741,0.975734503767778,232916059.967223
"Denmark",0.0861648100359081,0.00143581667863181,0,0.116374695863747,7.46993351759169e-05,0.200827945467169,0.567783017696257,4445834.48039065
"Djibouti",0.978013970551284,0.000138536134841838,0.371705069124424,0.275993492911922,0.129984608926822,0.996850217964917,0.999832143456631,2166984.6143576
"Dominica",0.791462113127001,0,0,0.285919540229885,0,0.991019603548352,1,75089.786990048
"Dominican Republic",0.373392273203124,0.0203322949117342,0.00152547331466544,0.236395380634847,0.0150136100714529,0.649187473488671,0.930384060230623,4809853.92027603
"Ecuador",0.661262328715185,0.282994189995304,0.397157728757381,0.473513470900097,0.352219895587149,0.851920676929868,0.991336098776949,25624876.9038222
"Egypt",0.95658029567137,0.886105930432833,0.840276902561684,0.860192601907586,0.89323502141556,0.947466528314894,0.956029999257538,98216891.4679472
"El Salvador",0.177659112218995,0.00144913534924162,0.000242072137496974,0.0594331745174124,0,0.742623831606543,0.944799734495784,2073194.02535807
"Equatorial Guinea",0.385949410303269,0.227261024679098,0.185000921319329,0.812847390606931,0.179007747318236,0.894796471170104,0.99620189278046,2699999.38203604
"Eritrea",0.633265637354329,0.00413267364226852,0.174161671390234,0.261134124170907,0.122868067551024,0.791180236111558,0.978042567094992,12076388.2309719
"Estonia",0.624662482503274,0.213082009367251,0.322054436987323,0.544180148871721,0.281232077996559,0.720509155513963,0.970981426623907,4544126.17290111
"Ethiopia",0.485559774755859,0.0336489767756602,0.220405759749879,0.132913169857021,0.0564238521027007,0.755016767057792,0.947742557222651,112931361.325886
"Europa Island",1,0.72,NA,0,NA,0.954022988505747,1,2473.06390402679
"Falkland Islands (Malvinas)",0.981086754672803,0.912059676750932,0.776845018450184,0.989062202777249,0.966586393738712,0.99984449439473,1,1208407.02384358
