"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.85592120941","590.505875579775","369.707232276548","357.202848575393","400.515593762192","456.374933276273","504.059842642233","523.284410700367","609.17165368466","597.432898792278","622.740922945281","694.423455373229","783.241214960091","930.125472654125","1191.92100563238","1643.75688889146","2158.1480742298","3139.28071035448","4010.86138084833","2994.34047090816","3218.37829927419","3525.80719813557","3681.84469060495","3838.17387997786","3986.23162376713","3607.28929855361","3591.82805221639","3914.52785436696","4220.54032079145","4604.64632355695","4266.01807420946","4670.008798001",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8666.65538195914","8807.46281200101","8528.24877689163","8395.31877025371","8340.52343974691","8874.87792759607","9740.82449121586","11910.013233348","10216.8176306968","10223.2983588916","11496.5240977923","11450.7241954879","11525.1563872309","12059.6351646776","12038.2496994923","11003.8297642807","11521.6097798453","11715.3601388487","12844.9009909959","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1246.69015964261","1416.54053131116","1760.83132448003","2124.61852648141","2392.68695794469","2660.55809143556","2948.31727549755","3372.60207005529","3899.39183968301","4703.17940118439","5463.59538268844","6454.83545091774","7076.53633490604","7347.64636864328","7602.34533414465","7745.72179961652","8136.18854727449","8771.14372746878","8406.35894515205","9030.5749776224","9491.66076559497","9940.85222769034","10260.5994054155","10872.2929515751","10367.3196068161","10401.0508759034","10797.9510571837","11446.9691417182","12557.5478500769","13995.8044243845","15622.6928710238","16044.1057963132","14160.5620007335","13048.9605816199","12746.6334682021","13272.7349447294","12910.5906255945","13501.5809223367","14285.3297773091","15198.7429664112","15383.5763979856","16679.5916624545","17376.6496765004","13992.7444804497","14900.7974022154",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1810.61923013403","1877.6166377325","1854.65683385421","1967.11653731032","2131.37794817925","2281.09879668523","2343.99529013149","2580.27109571187","2724.37251931884","2991.60719792911","3305.12639431046","3495.57929420671","3950.17089391811","4771.6719859735","6484.11987233886","7005.90658757798","7489.59416032812","7778.16400801462","8255.74454303408","9297.33341717362","10211.8371887909","11854.5884953898","12788.5492901209","11538.3984187095","12454.5517172396","11459.179567837","11384.9382387646","11645.4525939389","14279.1594387946","17828.0482329023","18243.4714183672","18855.7619964202","18604.1882699613","17667.1870997502","18079.3801793746","20358.3333563413","21904.2941177592","23509.4234684514","21345.9709868552","20558.9604021981","21697.7084797731","19527.3235767954","20117.7888912664","23492.4051742272","30513.9417409748","34080.9998953245","36117.487983674","41001.1429790999","49654.9105957389","42783.3225651148","52087.9722888891","62574.1457032412","68027.8417067378","68156.6279162085","62511.6905895284","56707.0220772116","49881.7637140466","53934.2501750463","57180.7794001614","54875.2859563351","51680.3165229438","59934.1294088895",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76905087549","2380.97845801742","2924.04887899105","3890.72241941969","4630.75719737956","5285.62072414121","5678.38665810018","6810.62768469634","8205.4689771504","9793.76534815017","10869.5464940526","9385.24906398343","9410.34725652989","9537.40742043378","8991.06503963026","9172.09676001833","13083.0726621044","16392.7695234749","17578.6189397397","17468.9461372569","21680.989623313","22410.9117666654","24880.1641180361","24081.5277928004","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27183.4759263956","24625.6007227434","24558.7636778868","26527.5930910347","32294.0488606559","36889.2335135194","38417.4577857677","40669.3269586152","46915.3374004507","51919.9835754226","48153.3240199631","46903.7615854343","51442.2762464407","48564.9173350875","50731.1272541847","51786.3771747905","44195.8175947748","45307.5878620429","47429.1584564387","51486.5755014824","50114.4011099728","48588.6593847921","53267.9327491132",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1234.53088916207","1209.18760201194","60.4582135796365","209.478571809788","157.086059054548","314.561226313624","409.163189106479","505.500349333104","561.906807871869","573.916512334089","655.119945170816","703.683843432722","763.080637985358","883.733971498452","1045.00937916805","1578.40239029603","2473.08181863536","3851.43786871172","5574.60380218613","4950.29479142375","5843.5337683582","7189.69122920765","7496.29464768263","7875.75695254288","7891.31314749986","5500.31038244408","3880.73873089556","4147.08971569171","4739.84171028393","4805.75371765917","4229.91064904503","5384.03499804521",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.0519098975133","71.1671882088235","73.4353308201368","78.5146207549818","86.1615495133979","51.3818812578693","52.1825516980849","54.8064431207722","54.9007620777181","55.7149339029583","69.7693841827188","71.6267098340753","69.1396147326763","84.4187820522328","94.6853995371613","113.753156119578","118.914933058734","142.05298389329","154.516273299419","193.149963916389","221.231941787803","227.128120029126","231.343693847179","240.781703183952","213.616841365552","242.058503810168","245.915327496274","225.071475788735","209.414860843789","209.894412605431","208.146678899064","209.778011006784","190.488879935296","161.887525025872","156.812380979725","167.098887846036","143.402323772521","158.914669880487","144.493017302487","128.938918689721","136.46397080034","134.363426917623","123.117536141087","113.567251308875","128.336702810905","151.681566343002","167.376462504995","172.495596648941","198.352851736367","212.137057219997","234.235538877634","249.577979366801","252.362469586451","256.97369793085","274.857836231788","305.511144099475","251.651477227529","250.514600732695","238.034309554717","223.862875707709","233.837510306669","236.795414165095",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2765.89099664794","3082.92798879126","3831.63189999433","4900.96220075866","5733.79813933878","6701.37736052433","7243.04734119583","8426.94695947372","10289.7684173296","11810.6158754725","12864.0025661396","10622.8024830789","9343.86109959618","8846.23429846974","8457.26880316374","8750.81851250536","12170.0406962702","15135.8523116968","16391.093827791","16525.0617432848","20600.3752789827","21041.6606519648","23372.619171015","22283.9360213551","24208.5547931447","28413.8264387368","27489.5551770488","24820.9380503896","25338.4432934904","25252.8019066564","23098.8865077401","23015.0712632462","25006.191397109","30655.2092679024","35429.4077933344","36809.7013403619","38705.1067959147","44319.165448813","48303.397956286","44760.2912443709","44184.946353964","47410.5669277464","44670.5606845101","46757.9518559598","47764.0715120833","41008.296719472","42012.6227191016","44198.4823908691","47549.2080494546","46599.1113350938","45189.3669003126","51767.7885723646",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0227002677683","95.5722322308738","94.4644972423036","99.8589175338946","104.339929434072","110.132584644972","112.940836383512","111.951560996903","116.895149769939","116.025257145892","114.556675136837","112.569975631646","134.819585121297","161.987061525057","174.014094491397","207.300312768544","208.656403182912","218.453984016706","263.58143153799","327.822312162563","378.044305113183","337.978371685285","322.777452914962","271.129844234977","252.869785044788","244.410941733101","303.349035603158","344.503146752797","346.736631300277","311.678045207701","393.68676796568","385.753840745475","317.962736015867","411.926179723246","279.666749038025","367.387714295597","387.432098183474","361.099982369469","379.441767515178","551.821429431177","512.673901962619","518.067474134696","574.929798155789","711.284954771847","798.744304503809","822.785143124704","856.054916559873","966.203618310158","1125.42613398072","1088.75790573459","1036.53451502404","1130.27325128015","1145.14010479477","1251.20976745379","1291.41018480579","1076.79669785585","1087.28733148547","1136.59387178448","1241.8252980053","1219.51550596905","1291.04097215441","1428.44717671325",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.4247344006247","71.558180092437","76.520549314543","78.3721958330329","80.4727181207385","81.7250523247925","82.545684006557","84.3630702039477","84.7329371553071","86.5202091318263","81.5000146010762","84.2878285843207","99.326746973691","113.780341433982","124.358896430637","152.727996774912","155.649056863891","176.783350963439","225.941517814401","262.076009642159","282.685850096209","254.230468740772","245.09449089523","217.994602363453","193.843273138253","200.8943517994","256.762480687544","291.131616653547","313.061591382782","304.85352087584","351.979233521781","346.410595888327","361.046875627391","334.943236997182","193.070280195262","235.832150553486","249.360558855403","229.492949313014","255.718236662883","300.421723896109","255.718687257319","267.097599629023","294.665388546593","374.627357970473","418.37666028192","457.933430763383","473.449868166334","535.062279451535","643.404581023036","624.175164544582","647.836095537879","751.172770411005","758.000426972403","787.469438309085","792.84623742527","653.32726813947","688.250696258197","734.996267960528","804.500537821516","796.115206827676","857.932729650223","918.15258192146",
