date,country,country_name,dataType,fcs_people,fcs_prevalence,rcsi_people,rcsi_prevalence
14/06/21,GMB,Gambia,PREDICTION,493255,0.216330329,,
14/06/21,GHA,Ghana,PREDICTION,5674937,0.190644547,,
14/06/21,GTM,Guatemala,SURVEY,1678175,0.097297878,3546120,0.2055983
14/06/21,GNB,Guinea-Bissau,PREDICTION,710704,0.379181672,615974,0.328640406
14/06/21,GIN,Guinea,SURVEY,5949938,0.479280411,2875256,0.231608105
14/06/21,HND,Honduras,SURVEY,1170895,0.122126973,3309779,0.34521732
14/06/21,IND,India,PREDICTION,238621999,0.17641501,,
14/06/21,IRN,Iran  (Islamic Republic of),PREDICTION,8410239,0.102814321,,
14/06/21,IRQ,Iraq,SURVEY,1869646,0.04864613,2924623,0.076095481
14/06/21,JOR,Jordan,PREDICTION,1606584,0.161368243,,
14/06/21,KEN,Kenya,SURVEY,7348764,0.142991521,14416499,0.280514757
14/06/21,KGZ,Kyrgyzstan,PREDICTION,1521996,0.230899291,,
14/06/21,LAO,Lao People's Democratic Republic,PREDICTION,1257961,0.178143469,,
14/06/21,LBN,Lebanon,PREDICTION,1492802,0.217961537,,
14/06/21,LSO,Lesotho,PREDICTION,1054145,0.500037711,487168,0.231090003
14/06/21,LBR,Liberia,PREDICTION,1644475,0.359975422,,
14/06/21,LBY,Libya,PREDICTION,618229,0.09256911,,
14/06/21,MDG,Madagascar,SURVEY,6883194,0.262203829,11244261,0.428331424
14/06/21,MWI,Malawi,SURVEY,2680507,0.147740882,5165434,0.284702027
14/06/21,MLI,Mali,SURVEY,9379506,0.491647991,4470728,0.234343306
14/06/21,MDA,"Moldova, Republic of",PREDICTION,248906,0.070195754,,
14/06/21,MNG,Mongolia,PREDICTION,489796,0.154499739,,
14/06/21,MAR,Morocco,PREDICTION,4464399,0.123910788,,
14/06/21,MOZ,Mozambique,SURVEY,8549408,0.289850135,8910925,0.302106627
14/06/21,NAM,Namibia,SURVEY,528740,0.229887674,846028,0.36783938
14/06/21,NPL,Nepal,PREDICTION,7013985,0.249715794,,
